Team,Player,Pos.,Age,HT,WT,Exp,College
DEN,Jarrett Stidham,QB,30.0,"6' 3""",215 lbs,7,
DEN,Sam Ehlinger,QB,27.0,"6' 1""",222 lbs,6,
DEN,Cody Schrader,RB,26.0,"5' 9""",214 lbs,3,
DEN,J.K. Dobbins,RB,27.0,"5' 10""",212 lbs,7,
DEN,Jaleel McLaughlin,RB,25.0,"5' 7""",187 lbs,4,
DEN,Jonah Coleman,RB,23.0,"5' 8""",220 lbs,0,
DEN,RJ Harvey,RB,25.0,"5' 8""",205 lbs,2,
DEN,Tyler Badie,RB,26.0,"5' 8""",197 lbs,3,
DEN,Adam Trautman,TE,29.0,"6' 5""",253 lbs,7,
DEN,Caleb Lohner,TE,24.0,"6' 7""",250 lbs,1,
DEN,Dallen Bentley,TE,25.0,"6' 4""",253 lbs,0,
DEN,Evan Engram,TE,31.0,"6' 3""",240 lbs,10,
DEN,Justin Joly,TE,22.0,"6' 3""",241 lbs,0,
DEN,Lucas Krull,TE,28.0,"6' 6""",260 lbs,4,
DEN,Nate Adkins,TE,27.0,"6' 3""",252 lbs,4,
DEN,Cameron Ross,WR,25.0,"5' 10""",186 lbs,0,
DEN,Courtland Sutton,WR,30.0,"6' 4""",216 lbs,9,
DEN,Dane Key,WR,23.0,"6' 3""",210 lbs,0,
DEN,Hakeem Butler,WR,30.0,"6' 5""",227 lbs,2,
DEN,Jaylen Waddle,WR,27.0,"5' 10""",185 lbs,6,
DEN,Joseph Manjack IV,WR,23.0,"6' 3""",210 lbs,0,
DEN,Kolbe Katsis,WR,24.0,"6' 1""",185 lbs,0,
DEN,Kyre Duplessis,WR,24.0,"5' 11""",190 lbs,0,
DEN,Kyrese Rowan,WR,25.0,"5' 10""",185 lbs,1,
DEN,Lil'Jordan Humphrey,WR,28.0,"6' 4""",225 lbs,7,
DEN,Marvin Mims Jr.,WR,24.0,"5' 11""",182 lbs,4,
DEN,Michael Bandy,WR,28.0,"5' 10""",190 lbs,3,
DEN,Pat Bryant,WR,23.0,"6' 2""",204 lbs,2,
DEN,Troy Franklin,WR,23.0,"6' 3""",180 lbs,3,
DET,Jared Goff,QB,31.0,"6' 4""",217 lbs,11,
DET,Joshua Dobbs,QB,31.0,"6' 3""",216 lbs,9,
DET,Luke Altmyer,QB,23.0,"6' 1""",213 lbs,0,
DET,Isiah Pacheco,RB,27.0,"5' 10""",210 lbs,5,
DET,Jabari Small,RB,25.0,"5' 11""",208 lbs,1,
DET,Jacob Saylors,RB,26.0,"5' 11""",195 lbs,2,
