Rank,Player,Team,Pos.,Age,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
221,Jaxson Dart,NYG,QB,0,191.4,191.26,1739,20.9,0.0,0,0,0.0,77,381,0.0
222,Jayden Daniels,WSH,QB,0,226.8,226.84,1821,21.0,0.0,0,0,0.0,84,700,0.0
223,Jayden Reed,GNB,WR,0,44.8,16.799999999999997,0,0.0,0.0,28,168,0.0,0,0,0.0
224,Jaylen Waddle,DEN,WR,0,159.8,97.8,0,0.0,0.0,62,978,0.0,0,0,0.0
225,Jaylen Warren,PIT,RB,0,157.0,105.00000000000001,0,0.0,0.0,52,427,0.0,147,623,0.0
226,Jaylen Wright,MIA,RB,0,7.0,7.0,0,0.0,0.0,0,0,0.0,21,70,0.0
227,Jaylin Lane,WSH,WR,0,11.8,2.8000000000000003,0,0.0,0.0,9,28,0.0,0,0,0.0
228,Jaylin Noel,HOU,WR,0,88.7,67.69999999999999,0,0.0,0.0,21,588,0.0,4,89,0.0
229,Jelani Woods,NYJ,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
230,Jeremiyah Love,ARI,RB,0,144.6,108.60000000000001,0,0.0,0.0,36,176,0.0,140,490,7.0
231,Jeremy Ruckert,NYJ,TE,0,27.6,6.6,0,0.0,0.0,21,66,0.0,0,0,0.0
232,Jerry Jeudy,CLE,WR,0,32.2,18.200000000000003,0,0.0,0.0,14,182,0.0,0,0,0.0
233,Jimmy Horn,CAR,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
234,Joe Burrow,CIN,QB,0,225.9,226.06,3224,21.0,7.0,0,0,0.0,42,131,0.0
235,Joe Flacco,CIN,QB,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
236,John Bates,WSH,TE,0,22.9,8.899999999999999,0,0.0,0.0,14,89,0.0,0,0,0.0
237,John Metchie,CAR,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
238,Johnny Mundt,PHI,TE,0,19.6,5.6000000000000005,0,0.0,0.0,14,56,0.0,0,0,0.0
239,Jonah Coleman,DEN,RB,0,101.5,82.50000000000001,0,0.0,0.0,19,135,0.0,70,270,7.0
240,Jonathan Mingo,DAL,WR,0,14.0,7.0,0,0.0,0.0,7,70,0.0,0,0,0.0
241,Jonathan Taylor,IND,RB,0,400.8,344.8,0,0.0,0.0,56,438,0.0,303,1330,28.0
242,Jonathon Brooks,CAR,RB,0,65.2,51.20000000000001,0,0.0,0.0,14,302,0.0,65,210,0.0
243,Jonnu Smith,GNB,TE,0,48.8,34.8,0,0.0,0.0,14,348,0.0,0,0,0.0
244,Jordan Addison,MIN,WR,0,28.7,14.699999999999998,0,0.0,0.0,14,147,0.0,0,0,0.0
