Rank,Player,Team,Pos.,PPR,Std,Age,PassAtt,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
275,Behren Morton,NWE,QB,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,TreVeyon Henderson,NWE,RB,214.9,185.9,23.0,0.0,0.0,0.0,0.0,29.0,208.0,2.0,176.0,871.0,11.0
277,Rhamondre Stevenson,NWE,RB,220.79999999999998,191.79999999999998,28.0,0.0,0.0,0.0,0.0,29.0,366.0,2.0,144.0,772.0,11.0
278,Jam Miller,NWE,RB,166.0,137.0,22.0,0.0,0.0,0.0,0.0,29.0,190.0,2.0,144.0,640.0,7.0
279,Hunter Henry,NWE,TE,178.3,120.3,31.0,0.0,0.0,0.0,0.0,58.0,663.0,9.0,0.0,0.0,0.0
280,Eli Raridon,NWE,TE,78.2,49.2,22.0,0.0,0.0,0.0,0.0,29.0,312.0,3.0,0.0,0.0,0.0
281,Julian Hill,NWE,TE,32.4,17.4,26.0,0.0,0.0,0.0,0.0,15.0,174.0,0.0,0.0,0.0,0.0
282,A.J. Brown,NWE,WR,223.9,150.9,29.0,0.0,0.0,0.0,0.0,73.0,969.0,9.0,0.0,0.0,0.0
283,Romeo Doubs,NWE,WR,141.3,96.3,26.0,0.0,0.0,0.0,0.0,45.0,663.0,5.0,0.0,0.0,0.0
284,Mack Hollins,NWE,WR,142.9,98.9,32.0,0.0,0.0,0.0,0.0,44.0,553.0,7.0,0.0,16.0,0.0
285,Kyle Williams,NWE,WR,58.8,43.8,23.0,0.0,0.0,0.0,0.0,15.0,258.0,3.0,0.0,0.0,0.0
286,DeMario Douglas,NWE,WR,36.8,21.8,25.0,0.0,0.0,0.0,0.0,15.0,218.0,0.0,0.0,0.0,0.0
287,Tyler Shough,NOR,QB,323.68,323.68,26.0,467.0,3942.0,32.0,8.0,0.0,0.0,0.0,53.0,240.0,5.0
288,Spencer Rattler,NOR,QB,24.06,24.06,25.0,30.0,219.0,3.0,1.0,0.0,0.0,0.0,8.0,53.0,0.0
