Rank,Player,Team,Pos.,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
207,Elijah Moore,BUF,WR,3.2,2.2,0,0.0,0.0,1,13,0.0,1,3,0.1
208,Emanuel Wilson,GNB,RB,5.7,4.7,0,0.0,0.0,1,6,0.0,7,29,0.2
209,Emari Demercado,ARI,RB,4.8,3.8,0,0.0,0.0,1,8,0.1,3,24,0.0
210,Emeka Egbuka,TAM,WR,12.1,8.1,0,0.0,0.0,4,56,0.4,0,1,0.0
211,Eric Gray,NYG,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
212,Eric Saubert,SEA,TE,0.3,0.3,0,0.0,0.0,0,3,0.0,0,0,0.0
213,Evan Engram,DEN,TE,6.5,3.5,0,0.0,0.0,3,29,0.1,0,0,0.0
214,Evan Hull,NOR,RB,0.9,0.9,0,0.0,0.0,0,1,0.0,3,8,0.0
215,Feleipe Franks,ATL,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
216,Foster Moreau,NOR,TE,1.5,0.5,0,0.0,0.0,1,5,0.0,0,0,0.0
217,Gabe Davis,BUF,WR,8.1,5.1,0,0.0,0.0,3,21,0.5,0,0,0.0
218,Gabriel Davis,BUF,WR,4.2,2.2,0,0.0,0.0,2,22,0.0,0,0,0.0
219,Gage Larvadain,CLE,WR,1.6,0.6,0,0.0,0.0,1,6,0.0,0,0,0.0
220,Gardner Minshew II,KAN,QB,0.5,0.5,9,0.0,0.3,0,0,0.0,1,1,0.0
221,Garrett Wilson,NYJ,WR,14.2,9.2,0,0.0,0.0,5,56,0.6,0,0,0.0
222,Gary Brightwell,CIN,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
223,Geno Smith,LVR,QB,13.6,13.6,202,1.2,1.1,0,0,0.0,3,7,0.0
224,George Holani,SEA,RB,1.4,1.4,0,0.0,0.0,0,1,0.0,2,7,0.1
225,George Kittle,SFO,TE,14.3,9.3,0,0.0,0.0,5,57,0.6,0,0,0.0
226,George Pickens,DAL,WR,16.4,11.4,0,0.0,0.0,5,84,0.5,0,0,0.0
227,Giovanni Ricci,DET,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
228,Grant Calcaterra,PHI,TE,2.1,1.1,0,0.0,0.0,1,5,0.1,0,0,0.0
229,Greg Dortch,ARI,WR,5.7,3.7,0,0.0,0.0,2,18,0.2,1,1,0.1
230,Greg Dulcich,MIA,TE,6.8,3.8,0,0.0,0.0,3,33,0.1,0,0,0.0
231,Gunnar Helm,TEN,TE,5.8,2.8,0,0.0,0.0,3,22,0.1,0,0,0.0
232,Gunner Olszewski,NYG,WR,3.0,2.0,2,0.1,0.0,1,9,0.1,0,0,0.0
233,Harold Fannin,CLE,TE,11.7,7.7,0,0.0,0.0,4,46,0.4,0,1,0.1
234,Harrison Bryant,HOU,TE,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
235,Hassan Haskins,LAC,RB,0.5,0.5,0,0.0,0.0,0,1,0.0,1,4,0.0
236,Hayden Rucci,MIA,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
237,Hunter Henry,NWE,TE,10.9,6.9,0,0.0,0.0,4,45,0.4,0,0,0.0
238,Hunter Long,JAX,TE,3.1,2.1,0,0.0,0.0,1,9,0.2,0,0,0.0
239,Hunter Luepke,DAL,RB,2.6,1.6,0,0.0,0.0,1,6,0.1,1,4,0.0
240,Hunter Renfrow,CAR,WR,6.3,3.3,0,0.0,0.0,3,15,0.3,0,0,0.0
241,Ian Thomas,LVR,TE,1.8,0.8,0,0.0,0.0,1,8,0.0,0,0,0.0
