Player,Team,Pos.,G,PassAtt,PassAttStDev,Cmp,IndComp%,CompStDev,TeamComp%,PassYds,PassYdsStDev,PassYds%,PassTD,PassTDStDev,PassTD%,Int,IntStDev,Int%,Tgt,TgtStDev,Rec,IndCatch%,CatStDev,TmCatch%,RecYds,RecYdsStDev,RecYds%,RecTD,RecTDStDev,RecTD%,RushAtt,RushStDev,Rush%,RushYds,RushYdsStDev,RushYds%,RushTD,RushTDStDev,RushTD%,Opp,Week
CJ Donaldson,NOR,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,1.4142135623730951,1,0.5,0.7071067811865476,0.016129032258064516,-2,1.4142135623730951,-0.0030211480362537764,0,0.0,0.0,3,0.7071067811865476,0.057692307692307696,6,1.4142135623730951,0.038461538461538464,0,0.0,0.0,LVR,3
CJ Williams,JAX,WR,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,NWE,3
Cade Otton,TAM,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11,0.7071067811865476,8,0.7272727272727273,1.4142135623730951,0.18181818181818182,64,8.48528137423857,0.16080402010050251,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,MIN,3
Cade Stover,HOU,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.7071067811865476,1,1.0,0.7071067811865476,0.017857142857142856,-2,1.4142135623730951,-0.003189792663476874,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,IND,3
Caleb Douglas,MIA,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10,2.8284271247461903,7,0.7,2.1213203435596424,0.2413793103448276,113,53.033008588991066,0.2709832134292566,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,KAN,3
Caleb Williams,CHI,QB,2,55,2.1213203435596424,36,0.6545454545454545,4.242640687119285,0.5625,407,92.63098833543772,0.8828633405639913,2,1.4142135623730951,1.0,1,0.7071067811865476,1.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,15,3.5355339059327378,0.21428571428571427,107,16.263455967290593,0.25176470588235295,2,1.4142135623730951,0.3333333333333333,PHI,3
Calvin Ridley,TEN,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,1.4142135623730951,2,1.0,1.4142135623730951,0.0625,35,24.748737341529164,0.10835913312693499,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,NYG,3
Cam Skattebo,NYG,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,2.8284271247461903,4,1.0,2.8284271247461903,0.10810810810810811,19,13.435028842544403,0.05263157894736842,0,0.0,0.0,30,4.242640687119285,0.5172413793103449,117,31.81980515339464,0.5391705069124424,1,0.7071067811865476,1.0,TEN,3
Cam Ward,TEN,QB,2,52,8.48528137423857,32,0.6153846153846154,4.242640687119285,0.6153846153846154,323,30.405591591021544,1.0,1,0.7071067811865476,1.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,0.0,0.18604651162790697,28,9.899494936611665,0.14736842105263157,2,1.4142135623730951,1.0,NYG,3
Cameron Latu,NWE,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,JAX,3
